cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Cooleney,cow,Ireland,Camembert,"soft, artisan",Medium,"creamy, smooth",mold ripened,white,"bitter, buttery, mushroomy","nutty, strong",True,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Camembert des Camarades,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",True,False
Loma Alta,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,firm,mold ripened,white,"buttery, nutty",rich,False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,washed,white,"creamy, herbaceous","fresh, goaty",False,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,pale yellow,"spicy, strong","fresh, herbal, nutty",False,False
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"earthy, grassy, lactic",False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,bloomy,white,"creamy, herbaceous","fresh, goaty",False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,rindless,white,"creamy, herbaceous","fresh, goaty",False,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored","clean, herbal",False,False
PepBert,cow,United States,Camembert,"soft, artisan",Medium,soft-ripened,natural,ivory,"creamy, spicy","buttery, strong",False,False
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,natural,white,"creamy, herbaceous","fresh, goaty",True,False
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,True,False
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,"dry, firm",natural,white,buttery,"fresh, herbal",False,False
P'tit Berrichon,goat,France,Camembert,"soft, artisan",Medium,soft-ripened,leaf wrapped,white,sweet,goaty,False,False
Cooleney,cow,Ireland,Camembert,"soft, artisan",Medium,"creamy, smooth",mold ripened,white,"bitter, buttery, mushroomy","fresh, mild",True,False
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"mild, rich",False,False
Cameo,goat,United States,Camembert,"semi-soft, artisan",Medium,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",False,False
P'tit Berrichon,goat,France,Camembert,"soft, artisan",Medium,soft-ripened,leaf wrapped,white,sweet,goaty,False,False
Capriole Banon,goat,United States,Camembert,"soft, artisan",Medium,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",False,False
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",True,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,True,False
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",True,False
Cure Nantais,cow,France,Camembert,"soft, artisan",Medium,"open, sticky, supple",natural,straw,"smokey , spicy","buttery, fresh",False,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",True,False
Comox Camembert,cow,Canada,Camembert,"soft, artisan, soft-ripened",Medium,"buttery, chalky, creamy, soft, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",False,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,ivory,"spicy, strong",fresh,False,False
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",True,False
Laura Chenel Taupiniere,goat,United States,Camembert,"soft, artisan",Medium,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",True,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,pale yellow,"spicy, strong",stinky,False,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,cream,"spicy, strong","mild, milky",False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,bloomy,white,"creamy, herbaceous","fresh, goaty",True,False
Manteca,cow,Italy,Camembert,"semi-soft, artisan",Medium,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",False,False
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",False,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,False,False
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, firm",natural,cream,buttery,"fresh, herbal",False,False
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,True,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,white,"spicy, strong","clean, fresh",False,False
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",False,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,herbal,True,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Bouyssou,cow,France,Camembert,soft,Medium,"brittle, firm",natural,white,fruity,rich,False,False
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",False,False
Laura Chenel Taupiniere,goat,United States,Camembert,"soft, artisan",Medium,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",True,False
Striegistaler Zwerge Camembert,cow,Germany,Camembert,"semi-soft, soft-ripened",Medium,"creamy, soft",natural,white,"full-flavored, mild","aromatic, fresh, strong",True,False
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",True,False
Bridgewater,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy",False,False
Sandy Creek,goat,United States,Camembert,"soft, soft-ripened",Medium,"runny, smooth",mold ripened,ivory,"citrusy, lemony, mushroomy, tangy","earthy, grassy",True,False
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"fresh, milky, rich, sweet",False,False
Loma Alta,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,firm,mold ripened,white,"buttery, nutty",rich,False,False
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",False,False
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,True,False
Capriole Banon,goat,United States,Camembert,"soft, artisan",Medium,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",False,False
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"goaty, strong",True,True
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,False,False
Pelardon des Corbieres,goat,France,Camembert,soft,Medium,soft,washed,ivory,"acidic, sweet",fresh,False,False
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",mild,True,False
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,False,False
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,True,False
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",True,False
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,True,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",fresh,True,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Camembert des Camarades,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,True,False
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",True,False
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,smooth,bloomy,white,buttery,"fresh, herbal",False,False
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",False,False
Pastoral,goat,United States,Camembert,soft,Medium,smooth,rindless,white,"creamy, herbaceous","fresh, goaty",False,False
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,False,False
Manteca,cow,Italy,Camembert,"semi-soft, artisan",Medium,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",False,False
Pithtiviers au Foin,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,"burnt caramel, fruity",grassy,False,False
PepBert,cow,United States,Camembert,"soft, artisan",Medium,soft-ripened,washed,ivory,"creamy, spicy","buttery, strong",False,False
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",True,False
Camembert des Camarades,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",False,False
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,False,False
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",True,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,white,"spicy, strong","milky, sweet",False,False
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, firm, smooth",natural,cream,buttery,"fresh, herbal",False,False
Comox Camembert,cow,Canada,Camembert,"soft, artisan, soft-ripened",Medium,"buttery, chalky, creamy, soft, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",False,False
Bridgewater,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy",False,False
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",False,False
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,False,False
Capriole Banon,goat,United States,Camembert,"soft, artisan",Medium,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",False,False
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",False,False
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,True,False
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,False,False
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",barnyardy,False,False
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",True,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,True,False
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",True,False
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",False,False
Cameo,goat,United States,Camembert,"semi-soft, artisan",Medium,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",True,False
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,False,False
Striegistaler Zwerge Camembert,cow,Germany,Camembert,"semi-soft, soft-ripened",Medium,"creamy, soft",natural,white,"full-flavored, mild","aromatic, fresh, strong",True,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored","goaty, grassy, herbal",False,False
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",False,False
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,False,False
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",False,False
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,False,False
Pelardon des Corbieres,goat,France,Camembert,soft,Medium,"creamy, smooth, soft",natural,white,"acidic, sweet","mild, nutty, smokey, yeasty",False,False
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",False,False
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",True,False
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,golden yellow,"spicy, strong","aromatic, sweet",False,False
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",False,False
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,False,False
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,False,False
Bouyssou,cow,France,Camembert,soft,Medium,"elastic, stringy",natural,ivory,fruity,mild,False,False
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,False,False
Cranborne,cow,"England, Great Britain, United Kingdom",Camembert,"soft, artisan, soft-ripened",Medium,"buttery, creamy",bloomy,pale yellow,creamy,mushroom,False,False
Little Bloom on the Prairie,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, dense, smooth, soft-ripened",mold ripened,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic",False,False
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored","fresh, herbal, nutty",False,False
Cameo,goat,United States,Camembert,"semi-soft, artisan",Medium,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",False,False
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",False,False
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",False,False
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"floral, herbaceous","floral, fresh",True,False
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",True,False
Castillon Frais,sheep,France,Feta,fresh soft,Medium,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",False,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",False,False
St Tola Divine,goat,Italy,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",False,False
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,True,False
Shanklish,"cow, sheep","Egypt, Lebanon, Syria",Feta,"fresh firm, hard, artisan",Medium,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",False,False
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",True,False
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",False,False
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,False,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Barrel Aged Feta,"cow, goat, sheep",Greece,Feta,"soft, artisan",Medium,"creamy, crumbly",plastic,white,creamy,rich,False,False
Castillon Frais,sheep,France,Feta,fresh soft,Medium,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",False,False
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,False,False
Barambah Organics Marinated Feta,cow,Australia,Feta,fresh soft,Medium,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",True,False
Sgt. Pepper,goat,United States,Feta,fresh soft,Medium,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",True,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, spicy","fresh, garlicky, spicy",True,False
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,False,False
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False
Binnorie Marinated Fetta,cow,Australia,Feta,"soft, brined",Medium,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",True,False
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, spicy","fresh, garlicky, spicy",True,False
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,True,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Ackawi,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",Feta,"soft, brined",Medium,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",False,False
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False
St Tola Divine,goat,Mexico and Caribbean,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",False,False
Sgt. Pepper,goat,United States,Feta,fresh soft,Medium,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",True,False
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",False,False
Petit-Suisse,cow,France,Feta,fresh soft,Medium,"creamy, smooth",rindless,white,"mild, sweet",fresh,True,False
St Tola Greek Style,goat,Ireland,Feta,"firm, brined",Medium,smooth,rindless,white,"creamy, salty",goaty,True,False
St Tola Greek Style,goat,Ireland,Feta,"firm, brined",Medium,smooth,rindless,white,"creamy, salty",goaty,True,False
Crottin de Chavignol,goat,France,Feta,"firm, soft-ripened",Medium,crumbly,natural,white,full-flavored,strong,False,False
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",rindless,white,tangy,fresh,True,False
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,True,False
Murazzano DOP,"cow, goat",Italy,Feta,"fresh soft, processed",Medium,soft,rindless,white,spicy,mild,False,False
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"floral, herbaceous","floral, fresh",True,False
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",bloomy,white,"floral, herbaceous","floral, fresh",True,False
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,True,False
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False
Shanklish,"cow, sheep","Egypt, Lebanon, Syria",Feta,"fresh firm, hard, artisan",Medium,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",False,False
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",True,False
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",False,False
Barambah Organics Marinated Feta,cow,Australia,Feta,fresh soft,Medium,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",True,False
Bianca,"goat, sheep",United States,Feta,"fresh soft, artisan",Medium,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",True,False
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,True,False
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",False,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Crottin de Champcol,goat,France,Feta,soft,Medium,"crumbly, dense",rindless,white,full-flavored,strong,True,False
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",False,False
Phoebe,"goat, sheep",United States,Feta,"fresh soft, brined",Medium,soft,rindless,white,"milky, salty",fresh,False,False
Barrel Aged Feta,"cow, goat, sheep",Greece,Feta,"soft, artisan",Medium,"creamy, crumbly",rindless,white,creamy,rich,True,False
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",False,False
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,True,False
Meredith Chevre Dill,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",True,False
Phoebe,"goat, sheep",United States,Feta,"fresh soft, brined",Medium,soft,rindless,white,"milky, salty",fresh,True,False
St Tola Divine,goat,Canada,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",False,False
Crottin de Champcol,goat,France,Feta,soft,Medium,"crumbly, dense",natural,white,full-flavored,strong,True,False
St Tola Divine,goat,England,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",False,False
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",True,False
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, spicy","fresh, garlicky, spicy",True,False
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",False,False
